role,title,company,city_clean,region,country,job_count
Data Scientist,Data Scientist (m/w/d),adp Merkur GmbH,Lübbecke,Westfalen,Germany,1
Data Scientist,Data Scientist (m/w/d),Peagle GmbH,Augsburg,Bayern,Germany,1
Data Scientist,Data Scientist (w/m/d),PSI Technics GmbH,Winningen,Mosel,Germany,1
Data Scientist,Werkstudent / Praktikum – Data Scientist (m/w/d),quo data GmbH Qualitätsmanagement und Statistik,Dresden,,Germany,1
Data Scientist,Data Scientist (w/m/d),HUK-COBURG VVaG,Coburg,,Germany,1
Data Scientist,Data Scientist (m/w/d) im Reportingbereich,Körber AG,Markt Schwaben,,Germany,1
Data Scientist,Data Scientist (m/w/d),Hays AG,Erfurt,,Germany,1
Data Scientist,Data Scientist (m/w/d),Rheinland Kraftstoff GmbH,Gelsenkirchen,,Germany,1
Data Scientist,Data Scientist (m/w/d) in Vollzeit,trinkkontor Rhein-Ruhr GmbH,Duisburg,,Germany,1
Data Scientist,Data Scientist (m/w/d),Akkodis Germany Tech Experts GmbH,Leipzig,,Germany,1
Data Scientist,Data Scientist m/w/d,Miele & Cie. KG Werk Gütersloh,Gütersloh,,Germany,1
Data Scientist,Data Scientist (m/w/d),Lantenhammer Consulting Silvia Lantenhammer,München,,Germany,1
Data Scientist,Data Scientist (m/w/d) Fokus Infrastrukturmanagement,Deutsche Telekom AG,Darmstadt,,Germany,1
Data Scientist,AI Engineer / Data Scientist (m/w/d),thinkers GmbH,Leipzig,,Germany,1
Data Scientist,Data Scientist & Data Analyst (f/m/d),Siemens Energy Global GmbH & Co. KG,Berlin,,Germany,1
Data Scientist,Trainee im Bereich Data Scientist,Commerzbank AG,Frankfurt Am Main,,Germany,1
Data Scientist,Data Scientist (m/w/d),team SE,Flensburg,,Germany,1
Data Scientist,CRM Data Scientist (m/w/d),Dehner Gartencenter GmbH & Co. KG,Rain,Lech,Germany,1
Data Scientist,Data Scientist in Advanced Analytics (m/w/d),Allianz Deutschland AG,Unterföhring,,Germany,1
Data Scientist,Data Scientist (m/w/d),Heraeus Quarzglas Bitterfeld GmbH & Co. KG,Bitterfeld-Wolfen,,Germany,1
Data Scientist,Data Scientist / Data Engineer (m/w/d),FEGA & Schmitt Elektrogroßhandel GmbH,Ansbach,Mittelfranken,Germany,1
Data Scientist,Data Scientist Chemie (w/m/d),advanced engineering GmbH,Landsberg Am Lech,,Germany,1
Data Scientist,Data Scientist (m/w/d),ERGO Group AG,Düsseldorf,,Germany,1
Data Scientist,Data Scientist (m/w/d),Helmholtz-Zentrum hereon GmbH,Geesthacht,,Germany,1
Data Scientist,Principal Data Scientist (m/w/d),Alexander Thamm GmbH,Berlingen,Eifel,Germany,1
Data Scientist,Data Scientist (all genders),BORA Lüftungstechnik GmbH,Raubling,,Germany,1
Data Scientist,Senior Data Scientist (m/w/d),Randstad Professional,Ingelheim Am Rhein,,Germany,1
Data Scientist,Data Scientist (m/w/d) – Pharmagroßhandel – Standort Essen,Noweda Apothekergenossenschaft eG,Essen,Ruhr,Germany,1
Data Scientist,Data Scientist (m/w/d),Medizinische Hochschule Hannover (MHH),Hannover,,Germany,1
Data Scientist,(Senior) Data Scientist Analytics (m/w/d),REWE Group,Köln,,Germany,1
Data Scientist,Data Scientist (m/w/d),lise GmbH,Köln,,Germany,1
Data Scientist,Data Scientist (m/w/d),SCHICKLER Unternehmensberatung,Hamburg,,Germany,1
Data Scientist,Data Scientist (m/w/d),KOSATEC,Braunschweig,,Germany,1
Data Scientist,Data Scientist (m/w/d),CTcon,Vallendar,,Germany,1
Data Scientist,Data Scientist in Telematik mit Schwerpunkt Projektmanagement (w/m/d),HUK-COBURG VVaG,Coburg,,Germany,1
Data Scientist,Data Scientist (m/w/d),Bundesanstalt für Finanzdienstleistungsaufsicht (Bafin),Frankfurt Am Main,,Germany,1
Data Scientist,(Senior) Data Scientist (m/w/d),Josef WITT GmbH,Weiden In Der Oberpfalz,,Germany,1
