role,title,company,city
data scientist,Data Scientist (m/w/d),adp Merkur GmbH,"Lübbecke, Westfalen"
data scientist,Data Scientist (m/w/d),Peagle GmbH,"Augsburg, Bayern"
data scientist,Data Scientist (w/m/d),PSI Technics GmbH,"Winningen, Mosel"
data scientist,Werkstudent / Praktikum – Data Scientist (m/w/d),quo data GmbH Qualitätsmanagement und Statistik,Dresden
data scientist,Data Scientist (w/m/d),HUK-COBURG VVaG,Coburg
data scientist,Data Scientist (m/w/d) im Reportingbereich,Körber AG,Markt Schwaben
data scientist,Data Scientist (m/w/d),Hays AG,Erfurt
data scientist,Data Scientist (m/w/d),Rheinland Kraftstoff GmbH,Gelsenkirchen
data scientist,Data Scientist (m/w/d) in Vollzeit,trinkkontor Rhein-Ruhr GmbH,Duisburg
data scientist,Data Scientist (m/w/d),Akkodis Germany Tech Experts GmbH,Leipzig
data scientist,Data Scientist m/w/d,Miele & Cie. KG Werk Gütersloh,Gütersloh
data scientist,Data Scientist (m/w/d),Lantenhammer Consulting Silvia Lantenhammer,München
data scientist,Data Scientist (m/w/d) Fokus Infrastrukturmanagement,Deutsche Telekom AG,Darmstadt
data scientist,AI Engineer / Data Scientist (m/w/d),thinkers GmbH,Leipzig
data scientist,Data Scientist & Data Analyst (f/m/d),Siemens Energy Global GmbH & Co. KG,Berlin
data scientist,Trainee im Bereich Data Scientist,Commerzbank AG,Frankfurt am Main
data scientist,Data Scientist Engineer (m/w/d),Hays Professional Solutions GmbH,
data scientist,Data Scientist (m/w/d),team SE,Flensburg
data scientist,CRM Data Scientist (m/w/d),Dehner Gartencenter GmbH & Co. KG,"Rain, Lech"
data scientist,Data Scientist in Advanced Analytics (m/w/d),Allianz Deutschland AG,Unterföhring
data scientist,Data Scientist (m/w/d),Heraeus Quarzglas Bitterfeld GmbH & Co. KG,Bitterfeld-Wolfen
data scientist,Data Scientist / Data Engineer (m/w/d),FEGA & Schmitt Elektrogroßhandel GmbH,"Ansbach, Mittelfranken"
data scientist,Data Scientist Chemie (w/m/d),advanced engineering GmbH,Landsberg am Lech
data scientist,Data Scientist (m/w/d),ERGO Group AG,Düsseldorf
data scientist,Data Scientist (m/w/d),Helmholtz-Zentrum hereon GmbH,Geesthacht
data scientist,Principal Data Scientist (m/w/d),Alexander Thamm GmbH,"Berlingen, Eifel"
data scientist,Data Scientist (all genders),BORA Lüftungstechnik GmbH,Raubling
data scientist,Senior Data Scientist (m/w/d),Randstad Professional,Ingelheim am Rhein
data scientist,Data Scientist (m/w/d) – Pharmagroßhandel – Standort Essen,Noweda Apothekergenossenschaft eG,"Essen, Ruhr"
data scientist,Data Scientist (m/w/d),Medizinische Hochschule Hannover (MHH),Hannover
data scientist,(Senior) Data Scientist Analytics (m/w/d),REWE Group,Köln
data scientist,Data Scientist (m/w/d),lise GmbH,Köln
data scientist,Data Scientist (m/w/d),SCHICKLER Unternehmensberatung,Hamburg
data scientist,Data Scientist (m/w/d),KOSATEC,Braunschweig
data scientist,Data Scientist (m/w/d),CTcon,Vallendar
data scientist,Data Scientist in Telematik mit Schwerpunkt Projektmanagement (w/m/d),HUK-COBURG VVaG,Coburg
data scientist,Data Scientist (m/w/d),Bundesanstalt für Finanzdienstleistungsaufsicht (Bafin),Frankfurt am Main
data scientist,(Senior) Data Scientist (m/w/d),Josef WITT GmbH,Weiden in der Oberpfalz
data scientist,Data Scientist (m/w/d),Deutsche Gesetzliche Unfallversicherung e.V. (DGUV),Berlin
data scientist,Data Scientist (m/w/d) Kalkulation & Betreibermodelle - Energiewirtschaft/Energiewende,FERCHAU GmbH Niederlassung Nürnberg City,Neumarkt in der Oberpfalz
data scientist,Data Scientist – AI & Automation (w/m/d),Charisma-Tec GmbH,Stolberg (Rheinland)
data scientist,Data Scientist Machine Learning (m/w/d),FERCHAU GmbH Niederlassung Ulm,Biberach an der Riß
data scientist,Data Scientist – der Daten-Analyst & Modellierer (m/w/d),LET Lüddecke GmbH,"Ulm, Donau"
data scientist,Data Scientist mit Schwerpunkt Google Cloud (m/w/d),Hays Professional Solutions GmbH,Düsseldorf
data scientist,Data Scientist/Analyst für Versorgungsforschungsprojekte (m/w/d),InGef – Institut für angewandte Gesundheitsforschung Berlin GmbH,Berlin
data scientist,Data Scientist / Engineer (m/w/d),Cs2 ITEC GmbH   Co. KG,Berlin
data scientist,AI Engineer / Data Scientist,HDI AG,Hannover
data scientist,Big Data Scientist / Data Analyst (w/m/d),prognum Automotive GmbH,Stuttgart
data scientist,Principal Data Scientist - Vendor Recommendations & AI,Delivery Hero SE,
data scientist,Data-Engineer/-Scientist (m/w/d) im Aktuariat,AXA Konzern AG,Köln
data scientist,Senior Data Scientist – Quantitative Finance (w/m/d),HUK-COBURG VVaG,Coburg
data scientist,Data Scientist (m/w/d) mit Schwerpunkt HR,Dirk Rossmann GmbH,Burgwedel
data scientist,Data Scientist / ML Engineer (m/w/d),Maryna Simon,Würzburg
data scientist,Trainee Data Engineer / Data Scientist (m/w/d),ISR Information Products AG,Hamburg
data scientist,Data Scientist (m/w/d) - Integrated Logistics Support,COPLA Burg GmbH,Bremen
data scientist,(Senior) Data Scientist (m/w/d),Deichmann,"Essen, Ruhr"
data scientist,Data Scientist (m/w/d) Finance,Dirk Rossmann GmbH,Burgwedel
data scientist,Principal Data Scientist - Vendor Recommendations & AI,Delivery Hero SE,
data scientist,"Data Scientist  (m/w/d), Frankfurt",compeople,Frankfurt am Main
data scientist,AWV-2026-031 Data Scientist (m/w/d) im Bereich Rechtsextremismus/-terrorismus - Köln,Bundesverwaltungsamt,Köln
data scientist,Praxissemester als Data Scientist – KI - AI (m/w/d),Xiller GmbH,"Nürnberg, Mittelfranken"
data scientist,Data Scientist / AI-Engineer (m/w/d),N & H Technology GmbH,Willich
data scientist,Analyst / Data Scientist - Bochum (m/w/d),Vonovia Value Add,Bochum
data scientist,Scientist / Senior Scientist Bioprocess Modeling & Data,Brunel GmbH NL Wuppertal,Wuppertal
data scientist,Scientist (m/w/d) parenterale Arzneimittel,FERCHAU GmbH Niederlassung Mannheim,Ludwigshafen am Rhein
data scientist,Staff Data Scientist - AdTech Ranking,Delivery Hero SE,Berlin
data scientist,Principal Data Scientist - AdTech Ranking,Delivery Hero SE,Berlin
data scientist,Referent:in Data Scientist Digitalisierung und Business Analytics (m/w/d),Stadtsparkasse Düsseldorf,Düsseldorf
data scientist,(Senior) Data Scientist (m/f/d),Lehmann + Pioneers Digital GmbH,Leinfelden-Echterdingen
data scientist,Actuarial Data Scientist / Aktuar:in / Mathematiker:in im Pricing (w/m/d),HUK-COBURG VVaG,Coburg
data scientist,Junior Data Scientist (m/f/d) Machine Learning InsurTech,CHECK24 Services Personal GmbH,
data scientist,Data Engineer (m/w/d),Haufe Group SE,Freiburg im Breisgau
data scientist,(Junior) Data Scientist (m/w/d) – Fokus auf Recommender Systems und Ranking-Probleme Mietwagen,CHECK24 Services Personal GmbH,"Augsburg, Bayern"
data scientist,Data Scientist bzw. Data Engineer (m/w/d) im Datenkompetenzteam des Rechnungshofs,Rechnungshof von Berlin,Berlin
data scientist,Data Analyst (m/w/d),Galileo Global Education Germa ny GmbH,München
data scientist,Data Engineer (w/m/d),Siemens Energy Global GmbH & Co. KG,Berlin
data scientist,Acht Data Scientists (m/w/d),Deutsche Bundesbank Zentrale,Frankfurt am Main
